t-SNE-1,t-SNE-2,index,L1,L2,L3,L4,противоион,Номер_в_статье,"IC50,μM±Dark","IC50,μM(Light)",PI,"λex,nm",Клеточная линия,"Conditions,O2%","Время, h",DOI,Unnamed: 14,Unnamed: 15
11.758512,-13.345898,252,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Clc1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,,F[P-](F)(F)(F)(F)F,1,3.3,,,,A549,,48,10.1016/j.jinorgbio.2021.111465,,
6.2517815,-10.855236,267,[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,Nc1cc2cccnc2c2ncccc12,,F[P-](F)(F)(F)(F)F,Ir1,1.1,,,,A549,,48,10.1016/j.jinorgbio.2021.111450,,
29.147951,-38.189156,291,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CN1CCN(c2ccc(-c3nc4c5cccnc5c5ncccc5c4[nH]3)cc2)CC1,,F[P-](F)(F)(F)(F)F,1,10.4,,,,SGC-7901,,48,10.1016/j.jinorgbio.2020.111215,,
28.008142,-36.18209,306,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Clc1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,Ir1,15.1,,,,A549,,48,10.1016/j.jinorgbio.2020.111014,,
26.7321,-36.55605,315,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Clc1ccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)cc1Cl,,F[P-](F)(F)(F)(F)F,Ir2,200.0,,,,A549,,48,10.1016/j.jinorgbio.2020.111014,,
26.102734,-35.098907,324,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Clc1cc(Cl)c(Cl)c(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c1,,F[P-](F)(F)(F)(F)F,Ir3,200.0,,,,A549,,48,10.1016/j.jinorgbio.2020.111014,,
13.272612,22.65357,333,[c-]1cccc2c1c1nc3ccccc3nc1c1ccccc21,[c-]1cccc2c1c1nc3ccccc3nc1c1ccccc21,Cn1[c-][n+](Cn2[c-][n+](C)cc2)cc1,,[Cl-],Ir1,1.5,,,,A549,,48,10.1016/j.jinorgbio.2019.110976,,
16.263876,20.838675,338,[c-]1cccc2c1c1nc3ccccc3nc1c1ccccc21,[c-]1cccc2c1c1nc3ccccc3nc1c1ccccc21,CCCCn1[c-][n+](Cn2[c-][n+](CCCC)cc2)cc1,,[Cl-],Ir2,2.3,,,,A549,,48,10.1016/j.jinorgbio.2019.110976,,
-22.016457,-6.4736643,371,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(C(=C(c2ccccc2)c2ccc(-c3ccnc(-c4ccccn4)c3)cc2)c2ccccc2)cc1,,F[P-](F)(F)(F)(F)F,3,32.73,,,,A549,,24,10.1002/cbic.201900268,,
-22.539732,-6.1670194,372,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(C(=C(c2ccccc2)c2ccc(-c3ccnc(-c4cc(-c5ccc(C(=C(c6ccccc6)c6ccccc6)c6ccccc6)cc5)ccn4)c3)cc2)c2ccccc2)cc1,,F[P-](F)(F)(F)(F)F,4,100.0,,,,A549,,24,10.1002/cbic.201900268,,
-10.035488,-10.368144,383,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(OCCN1C(=O)C=CC1=O)c1cccnc1,O=C(OCCN1C(=O)C=CC1=O)c1cccnc1,F[P-](F)(F)(F)(F)F,Ir1,89.6,"53,3±4,5",,465,A549,,48,10.1002/ange.201813002,,
1.8125064,25.596012,388,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,NCCN,,[Cl-],1,15.64,"13,25 ± 1,44","1,18",450,HeLa,,24,10.1002/ange.202116078,,
-13.841006,18.12642,390,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,[c-]1ccccc1-c1nnc(-c2ccccc2)nn1,c1ccc2nc(-c3ccc4ccccc4n3)ccc2c1,,[Cl-],3,6.38,"6,94 ± 1,21","0,92",450,HeLa,,24,10.1002/ange.202116078,,
-34.104816,-0.7452443,394,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCNC(=O)c1ccnc(-c2cc(C)ccn2)c1,,F[P-](F)(F)(F)(F)F,1c,14.6,,,,HeLa,,48,10.1002/chem.201000474,,
-14.786094,-1.3197584,396,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CC(C)(C)c1cc(-c2cc(-c3cccnc3)nc(-c3ccccn3)c2)cc(C(C)(C)C)c1,,[Cl-],Ir1,12.8,"0,3",43,465,HeLa,,48,10.1002/chem.202103346,,
-14.340361,-1.0358251,397,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,FC(F)(F)c1cc(-c2cc(-c3cccnc3)nc(-c3ccccn3)c2)cc(C(F)(F)F)c1,,[Cl-],Ir2,23.8,"0,03",793,465,HeLa,,48,10.1002/chem.202103346,,
-15.882644,-0.81049377,398,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CN(C)c1ccc(-c2cc(-c3cccnc3)nc(-c3ccccn3)c2)cc1,,[Cl-],Ir3,2.3,"0,1",23,465,HeLa,,48,10.1002/chem.202103346,,
-21.366732,2.752389,418,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir-NH2,3.1,,,,AGS,,48,10.1002/ange.201915828,,
-19.715149,5.5434113,426,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Oc1ccc(Nc2ccnc(-c3ccccn3)c2)cc1O,,[Cl-],Ferrilidium,9.2,,,,AGS,,48,10.1002/ange.201915828,,
-4.7101912,30.74616,434,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(cc1)P(c2ccccc2)C34C5[Fe]3678912(C5C6C74)C3C8C9C1(C23)P(c1ccccc1)c1ccccc1,,F[P-](F)(F)(F)(F)F,Ir1,0.7,,,,MCF-7,Normoxia(20%),72,10.1002/ange.202115247,,
7.953025,-9.056123,447,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1cnc2c(c1)c1nccnc1c1cccnc12,,F[P-](F)(F)(F)(F)F,2,1.1,,,,A2780,,72,10.1002/chem.201705362,,
10.358693,-11.930391,449,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,c1ccc2cc3nc4c5cccnc5c5ncccc5c4nc3cc2c1,,F[P-](F)(F)(F)(F)F,4,20.0,,,,A2780,,72,10.1002/chem.201705362,,
12.178405,-10.170601,450,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,FC(F)(F)c1ccc(Cn2c(-c3[c-]cccc3)nc3ccccc32)cc1,O=c1[nH]c2cc3nc4c5cccnc5c5ncccc5c4nc3cc2[nH]1,,F[P-](F)(F)(F)(F)F,5,4.7,,,,A2780,,72,10.1002/chem.201705362,,
-29.607847,12.435946,471,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccc(N(CCCl)CCCl)cc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir1,4.9,,,,A549,,48,10.1002/ange.202013987,,
-29.427229,12.424649,472,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(CCCc1ccccc1)Nc1ccnc(-c2ccccn2)c1,,[Cl-],Ir2,3.62,,,,A549,,48,10.1002/ange.202013987,,
5.059325,19.650074,485,[c-]1ccccc1-c1nc2ccccc2s1,[c-]1ccccc1-c1nc2ccccc2s1,Cn1ccn(Cn2ccn(C)c2=S)c1=S,,[Cl-],pbtIrSS,1.3,,,,MDA-MB-231,,48,10.1002/ange.202015009,,
-30.590153,0.55275726,490,C[n+]1ccc[c-]c1-c1ccccn1,C[n+]1ccc[c-]c1-c1ccccn1,Cc1ccnc(-c2cc(C)ccn2)c1,,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,2,100.0,,,,U2OS,,72,10.1002/chem.201803521,,
41.352367,3.2341673,505,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,CCCCOc1ccc(-c2nc3c4cccnc4c4ncccc4c3n2-c2ccccc2)cc1,,F[P-](F)(F)(F)(F)F,IrL1,20.48,0.51±0.16,40.39,450,MCF-7,Normoxia(21%),24,10.1002/ange.202014959,,
40.644814,3.624497,507,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,[c-]1c(-c2nccc3ccccc23)sc2ccccc12,c1ccc(-n2c(-c3ccc(OCCCC[P+](c4ccccc4)(c4ccccc4)c4ccccc4)cc3)nc3c4cccnc4c4ncccc4c32)cc1,,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,MitoIrL2,15.26,0.20±0.05,74.80,450,MCF-7,Normoxia(21%),24,10.1002/ange.202014959,,
-13.763369,8.562265,509,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,CCN(CC)c1ccc2[c-]c(-c3nc4ccccc4s3)c(=O)oc2c1,C[N+](C)(C)Cc1ccc(-c2ccc(C[N+](C)(C)C)cn2)nc1,,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,Ir3,200.0,"2,2",,465,CNE-2Z,,48,10.1002/ange.202015671,,
-9.500083,22.462637,526,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCCCNC(=S)Nc1nc2ccccc2[nH]1,,[Cl-],Ir-1S,13.6,,,,EFO-21,,,10.1002/cmdc.201900591,,
-9.629895,22.39783,530,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,CCCCNC(=N)Nc1nc2ccccc2[nH]1,,[Cl-],Ir-1N,1.0,,,,EFO-21,,,10.1002/cmdc.201900591,,
-20.714668,24.157177,534,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc(-c2nc3ccccc3n2Cc2ccc3ccccc3n2)nc1,,[Cl-],1,4.59,0.30±0.09,15.3,470,A549,,24,10.1002/cmdc.202200244,,
-20.504175,24.364685,535,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,c1ccc2nc(Cn3c(-c4nccs4)nc4ccccc43)ccc2c1,,[Cl-],2,3.5,0.26±0.14,13.5,470,A549,,24,10.1002/cmdc.202200244,,
2.3387887,1.9996235,553,Cc1c[c-]c(-c2ccccn2)cc1,Cc1c[c-]c(-c2ccccn2)cc1,Cc1cc(Cl)c2ccc3c(Cl)cc(C)nc3c2n1,,F[P-](F)(F)(F)(F)F,2,0.2,,,,HT-29,,48,10.1016/j.jorganchem.2014.04.031,,
0.8405452,24.33187,561,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,NCCc1c[nH]cn1,,[Cl-],Ir(ppy)2−histamine,200.0,,,,HeLa,,24,10.1021/jm4001665,,
-25.542236,-0.45057794,587,[c-]1ccccc1-c1nccc2ccccc12,[c-]1ccccc1-c1nccc2ccccc12,COc1ccnc(-c2cc(OC)ccn2)c1,,F[P-](F)(F)(F)(F)F,1,0.82,,,,A549,,72,10.1021/acs.jmedchem.5b00375,,
-7.7031603,-2.3953192,672,[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,Cn1c2ccccc2c2ccnc(-c3ccccn3)c21,,F[P-](F)(F)(F)(F)F,IrC1,0.96,0.008 ± 0.002,120,425,A549,,48,10.1039/D0DT00180E,,
-7.3554115,-2.3942611,673,[c-]1ccccc1-c1ccc2ccccc2n1,[c-]1ccccc1-c1ccc2ccccc2n1,Cn1c2ccccc2c2ccnc(-c3ccc4ccccc4n3)c21,,F[P-](F)(F)(F)(F)F,IrC2,1.3,0.014 ± 0.003,93,425,A549,,48,10.1039/D0DT00180E,,
25.836128,-40.114124,721,[c-]1ccsc1-c1ccccn1,[c-]1ccsc1-c1ccccn1,O=C(O)CCCCCNC(=O)c1ccc(-c2nc3c4ccccc4c4ccccc4c3[nH]2)cc1,,F[P-](F)(F)(F)(F)F,1,11.2,,,,A549,,48,10.1016/j.ejmech.2022.114335,,
-12.900361,4.7494335,727,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Clc1cccc(-n2cc(-c3ccccn3)nn2)c1,,[Cl-],6c,0.36,,,,LNCaP,,,10.1016/j.ejmech.2015.12.035,,
-12.017595,5.559058,728,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=[N+]([O-])c1ccc(-n2cc(-c3ccccn3)nn2)cc1C(F)(F)F,,[Cl-],6i,0.72,,,,LNCaP,,,10.1016/j.ejmech.2015.12.035,,
-10.558453,3.618865,729,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,COC(=O)c1ccc(-n2cc(-c3ccccn3)nn2)cc1,,F[P-](F)(F)(F)(F)F,6n,1.6,,,,LNCaP,,,10.1016/j.ejmech.2015.12.035,,
-10.038974,3.3702083,730,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,O=C(NCc1ccccc1)c1ccc(-n2cc(-c3ccccn3)nn2)cc1,,F[P-](F)(F)(F)(F)F,6r,2.55,,,,LNCaP,,,10.1016/j.ejmech.2015.12.035,,
36.874878,-37.82283,735,[c-]1cccc2ccc3cccnc3c12,[c-]1cccc2ccc3cccnc3c12,NC(=[NH2+])Nc1cccc(-c2nc3c4cccnc4c4ncccc4c3[nH]2)c1,,F[P-](F)(F)(F)(F)F.F[P-](F)(F)(F)(F)F,1,8.96,,,,HeLa,,48,10.1016/j.ejmech.2017.06.038,,
2.7121804,1.4178332,789,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccc2c(Cl)cc(Cl)c([O-])c2n1,,,Ir-1,1.22,,,,HeLa,,6,10.1016/j.ejmech.2020.112192,,
3.6583488,0.6152129,792,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccc2c(Br)cc(Br)c([O-])c2n1,,,Ir-4,4.6,,,,HeLa,,6,10.1016/j.ejmech.2020.112192,,
7.854791,-2.7230783,794,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,[O-]c1c(I)cc(I)c2cccnc12,,,Ir-6,7.05,,,,HeLa,,6,10.1016/j.ejmech.2020.112192,,
9.197054,-3.6014245,795,[c-]1ccccc1-n1cccn1,[c-]1ccccc1-n1cccn1,[O-]c1c(Cl)cc(Cl)c2cccnc12,,,Ir-7,5.11,,,,HeLa,,6,10.1016/j.ejmech.2020.112192,,
8.772188,-1.2491747,796,Cc1cccnc1-c1[c-]cccc1,Cc1cccnc1-c1[c-]cccc1,[O-]c1c(Br)cc(Br)c2cccnc12,,,Ir-8,6.81,,,,HeLa,,6,10.1016/j.ejmech.2020.112192,,
10.822279,-2.9144542,798,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,[O-]c1ccc(Cl)c2cccnc12,,,Ir-10,10.54,,,,HeLa,,6,10.1016/j.ejmech.2020.112192,,
0.71503985,0.7437034,802,[c-]1ccccc1-c1ccccn1,[c-]1ccccc1-c1ccccn1,Cc1ccc2cccc([O-])c2n1,,,Ir-14,10.99,,,,HeLa,,6,10.1016/j.ejmech.2020.112192,,
